iter	MultiRMSE
0	1.244147132
1	1.234340484
2	1.223274544
3	1.214186371
4	1.204877176
5	1.196135467
6	1.1883112
7	1.180383068
8	1.173346734
9	1.166549221
10	1.160326116
11	1.15408901
12	1.148043369
13	1.141955771
14	1.136677011
15	1.131608159
16	1.126333081
17	1.121368959
18	1.116384473
19	1.111912208
20	1.107262966
21	1.102835869
22	1.098203736
23	1.0926175
24	1.088619341
25	1.085363793
26	1.081166653
27	1.077964535
28	1.0741128
29	1.067251798
30	1.063683742
31	1.058461185
32	1.055855831
33	1.052984407
34	1.050116331
35	1.04707948
36	1.037572832
37	1.034360877
38	1.030486344
39	1.027651446
40	1.024330027
41	1.021299509
42	1.013783329
43	1.010908364
44	1.004591465
45	1.002519855
46	0.9963683176
47	0.9938965463
48	0.98894448
49	0.9867208412
50	0.983739316
51	0.9809091324
52	0.9787081017
53	0.9763724819
54	0.9746741539
55	0.9689734244
56	0.9667453877
57	0.9637845298
58	0.9622780131
59	0.9584928348
60	0.9567747604
61	0.9552353917
62	0.9527674963
63	0.9491353778
64	0.9473882805
65	0.9423948837
66	0.9406031292
67	0.9386129293
68	0.9341282603
69	0.9302904742
70	0.9286528782
71	0.9271393375
72	0.9255099294
73	0.9207306886
74	0.9191405021
75	0.9170513199
76	0.9156110552
77	0.9137934384
78	0.9108006552
79	0.9095030107
80	0.9051772921
81	0.9025771912
82	0.9009730755
83	0.8995749055
84	0.8984502177
85	0.8967612765
86	0.8952396981
87	0.8939774345
88	0.8927053089
89	0.8896712875
90	0.8882478527
91	0.8869728201
92	0.8858208015
93	0.8846930254
94	0.8824134861
95	0.8812480719
96	0.8798674611
97	0.8786093992
98	0.8775006873
99	0.8758334183
100	0.8741979264
101	0.8732308863
102	0.8721912926
103	0.871285471
104	0.8704050175
105	0.8691592553
106	0.8679290936
107	0.8669029225
108	0.8659482987
109	0.864705033
110	0.8632385593
111	0.8623617459
112	0.8602807534
113	0.8593335597
114	0.8585036586
115	0.8562645699
116	0.8549998498
117	0.8539234847
118	0.8531654693
119	0.8523796191
120	0.8481680069
121	0.8472895728
122	0.8463124478
123	0.845764648
124	0.8445745789
125	0.8434274468
126	0.842487182
127	0.8417364474
128	0.8399800021
129	0.8391586061
130	0.8362253411
131	0.8350587648
132	0.8342626646
133	0.8337087368
134	0.8327221531
135	0.8317347233
136	0.8301578456
137	0.8289803734
138	0.8280986352
139	0.8273640931
140	0.8255469991
141	0.8246850714
142	0.8235171489
143	0.8224225982
144	0.8217495774
145	0.8210024574
146	0.8197258813
147	0.8188322904
148	0.8180444028
149	0.8174798477
150	0.8163485575
151	0.8136650639
152	0.8115019487
153	0.810754646
154	0.8098209645
155	0.8091641745
156	0.8085200015
157	0.807682345
158	0.8068763817
159	0.8061978893
160	0.8054208561
161	0.8037997977
162	0.803029561
163	0.8020585551
164	0.8014791947
165	0.8005682699
166	0.7988889493
167	0.7983782348
168	0.7976285172
169	0.7959893228
170	0.7952251572
171	0.794341487
172	0.7935596218
173	0.7925500581
174	0.7919378082
175	0.7909838127
176	0.7903530935
177	0.789817836
178	0.7890535804
179	0.7882332646
180	0.787247704
181	0.7854986129
182	0.7847752463
183	0.7838842444
184	0.7833239559
185	0.7824211838
186	0.7815677658
187	0.7810628137
188	0.7805368028
189	0.7792812758
190	0.7783982516
191	0.7762991381
192	0.7757768897
193	0.7751219024
194	0.7743510457
195	0.7734972792
196	0.772986669
197	0.7724026271
198	0.7715091602
199	0.7710164965
200	0.7696445654
201	0.7685658669
202	0.7680562065
203	0.7674097241
204	0.7667171039
205	0.7659300915
206	0.7653296525
207	0.7647068003
208	0.7641262969
209	0.7634635522
210	0.7618325243
211	0.7609252954
212	0.7601504964
213	0.7590037191
214	0.7583301796
215	0.7575371182
216	0.7567973438
217	0.7561076102
218	0.7551478599
219	0.7546146952
220	0.7541045773
221	0.7534369813
222	0.752826595
223	0.7522593431
224	0.7505223274
225	0.7495350215
226	0.7488565343
227	0.748352314
228	0.7478284408
229	0.7460340048
230	0.745529699
231	0.7448208338
232	0.7443232958
233	0.7434527623
234	0.7428969169
235	0.7423211654
236	0.7416091413
237	0.7408980666
238	0.7404292719
239	0.7397714886
240	0.7394671975
241	0.7389960653
242	0.7377557699
243	0.7372598306
244	0.7357927024
245	0.7349809232
246	0.7341615795
247	0.7331072012
248	0.7325628047
249	0.7320001234
250	0.7312065429
251	0.7304983905
252	0.7296872838
253	0.7294180127
254	0.7285165894
255	0.7278861342
256	0.7273422349
257	0.726861726
258	0.7262017114
259	0.7256964463
260	0.7244681477
261	0.7240620685
262	0.7233781722
263	0.7228083423
264	0.7221020847
265	0.7214341571
266	0.7203218071
267	0.7195521898
268	0.7190857491
269	0.7186224284
270	0.7181076151
271	0.7173527277
272	0.7169118659
273	0.7159797219
274	0.715520926
275	0.7150201447
276	0.7144593397
277	0.714069934
278	0.713574623
279	0.7128985452
280	0.7123875531
281	0.7115950885
282	0.7112525868
283	0.7107415428
284	0.7104120303
285	0.7098065193
286	0.7093141209
287	0.7087081277
288	0.7084089359
289	0.7080878423
290	0.7074147571
291	0.7070640932
292	0.7063681958
293	0.7049282434
294	0.7043761833
295	0.7038187534
296	0.7031065392
297	0.7019527241
298	0.7014579949
299	0.7003801752
300	0.6999357937
301	0.6995361729
302	0.6991688612
303	0.6984422633
304	0.6977620833
305	0.6972977553
306	0.6966946028
307	0.6959833406
308	0.6955344516
309	0.6947956876
310	0.6942511845
311	0.6933874258
312	0.6930554571
313	0.6924585591
314	0.6920122017
315	0.6914106322
316	0.6908549003
317	0.6903347109
318	0.6897628664
319	0.6893347431
320	0.6888545615
321	0.688444395
322	0.687867272
323	0.6873898851
324	0.686836043
325	0.6860666826
326	0.6856827329
327	0.6853039439
328	0.6849256956
329	0.6844685887
330	0.6840306122
331	0.68332245
332	0.6829257291
333	0.6823797341
334	0.6818225877
335	0.6813063847
336	0.6811951845
337	0.6809243587
338	0.6803467458
339	0.6798338232
340	0.6794553993
341	0.6791958121
342	0.6786968692
343	0.6783958097
344	0.6780024607
345	0.6773871891
346	0.6768121828
347	0.6763940468
348	0.6755756212
349	0.6750752355
350	0.6746118855
351	0.6740975873
352	0.6737506109
353	0.6733450658
