iter	Passed	Remaining
0	1419	850481
1	2396	716451
2	3620	720454
3	5224	778401
4	6134	729953
5	7090	701956
6	8026	679971
7	8983	664812
8	10030	658675
9	11037	651226
10	11956	640215
11	12846	629468
12	13781	622281
13	14712	615815
14	15604	608576
15	16528	603285
16	17461	598826
17	18376	594182
18	19322	590852
19	20211	586125
20	21171	583732
21	22127	581347
22	23015	577378
23	23946	574716
24	24919	573141
25	25845	570580
26	26757	567848
27	27714	566177
28	28612	563366
29	29555	561551
30	30471	559295
31	31407	557481
32	32345	555752
33	33255	553599
34	34187	551886
35	35085	549676
36	36035	548322
37	36954	546544
38	37881	544911
39	38754	542558
40	39647	540557
41	40568	538986
42	41491	537464
43	42415	535978
44	43338	534505
45	44226	532639
46	45159	531343
47	46050	529586
48	46916	527575
49	47802	525832
50	48692	524161
51	49567	522367
52	50486	521061
53	51379	519502
54	52282	518070
55	53200	516806
56	54108	515450
57	54948	513486
58	55837	511998
59	56715	510436
60	57622	509157
61	58544	508017
62	59441	506664
63	60596	507493
64	61497	506170
65	62392	504811
66	63300	503573
67	64196	502240
68	65090	500913
69	66016	499836
70	66952	498840
71	67875	497753
72	68789	496602
73	69838	496419
74	70818	495726
75	71803	495063
76	72692	493745
77	73641	492834
78	74584	491882
79	75500	490752
80	76477	490022
81	77469	489381
82	78407	488394
83	79356	487477
84	80259	486275
85	81198	485300
86	82109	484164
87	82987	482835
88	83890	481663
89	84767	480347
90	85634	478989
91	86561	477971
92	87451	476750
93	88403	475874
94	89281	474599
95	90181	473454
96	91107	472442
97	92043	471486
98	92972	470496
99	93940	469701
100	94888	468806
101	95771	467590
102	96640	466316
103	97540	465194
104	98446	464105
105	99310	462824
106	100283	462052
107	101166	460871
108	102017	459547
109	102926	458488
110	103834	457431
111	104732	456334
112	105596	455094
113	106488	453978
114	107390	452908
115	108206	451481
116	109074	450280
117	109959	449157
118	110850	448060
119	111760	447043
120	112665	446004
121	113558	444927
122	114441	443809
123	115390	442951
124	116260	441788
125	117148	440702
126	118058	439698
127	118951	438632
128	119818	437475
129	120948	437276
130	121869	436311
131	122781	435317
132	123675	434260
133	124617	433370
134	125524	432362
135	126385	431196
136	127315	430271
137	128192	429167
138	129118	428228
139	130032	427248
140	130926	426205
141	131853	425273
142	132767	424300
143	133756	423561
144	134748	422830
145	135685	421925
146	136663	421147
147	137622	420305
148	138554	419384
149	139452	418356
150	140385	417437
151	141369	416669
152	142306	415758
153	143228	414803
154	144120	413764
155	145000	412694
156	145885	411638
157	146763	410564
158	147646	409510
159	148553	408522
160	149499	407641
161	150552	407049
162	151490	406144
163	152443	405275
164	153366	404329
165	154326	403480
166	155197	402397
167	156140	401503
168	157105	400666
169	158033	399731
170	158979	398842
171	159905	397903
172	160767	396807
173	161675	395825
174	162568	394809
175	163413	393677
176	164263	392562
177	165144	391522
178	166077	390607
179	166987	389638
180	167958	388810
181	168924	387969
182	169851	387037
183	170774	386098
184	171727	385226
185	172634	384251
186	173613	383435
187	174541	382506
188	175466	381570
189	176356	380559
190	177234	379522
191	178226	378730
192	179159	377813
193	180279	377286
194	181247	376437
195	182142	375435
196	183041	374445
197	183959	373493
198	184907	372601
199	185853	371706
200	186731	370675
201	187644	369715
202	188513	368668
203	189381	367622
204	190330	366734
205	191254	365797
206	192141	364790
207	193040	363806
208	193975	362892
209	194860	361883
210	195781	360942
211	196627	359865
212	197544	358918
213	198449	357950
214	199348	356972
215	200267	356031
216	201195	355105
217	202059	354068
218	202992	353151
219	203867	352135
220	204783	351189
221	205700	350246
